x,y
-2.60459137,2.05194259
0.766759276,19.7585354
37.8302155,10.9834156
8.17069340,-49.0448952
46.3813515,-49.9852905
13.9997025,-23.0976315
-5.76980448,-42.9545364
-44.2502937,-1.78633106
-20.4745846,3.55482388
21.1886768,21.1474781
-15.5052452,-47.5622101
-5.45582151,-49.2560730
-23.4356213,24.4118881
-7.37625408,-34.8351288
-7.14926195,-6.84256458
1.11583793,15.0658054
-6.14041376,-22.6396961
9.14389229,41.3254166
2.67593026,36.2209930
-27.5343475,-36.1254234
-34.8827744,0.616504848
-45.0871353,14.6660213
-39.1489563,-17.8617687
12.4888191,43.9603729
-43.0138092,24.3702698
-31.6014099,36.8109283
-11.5861044,34.9375610
-45.5526390,47.2455177
-38.8796272,-41.4469032
20.9442940,-16.7533607
-20.8135548,-20.7806244
5.54613352,-8.19328213
39.0681000,15.5053854
22.0924969,7.26366186
-31.7008991,-22.8127537
47.1324348,-48.7866402
-44.4630089,-41.5852127
-22.7314796,-10.2408657
49.7746811,-6.49689817
38.8111076,36.1349525
19.4635658,8.79344749
-6.19066381,-17.0008259
-4.03344345,-5.68135643
11.4342337,-38.4258957
17.2857056,-1.81856048
-5.53539944,17.6836681
-49.2819901,42.8373871
5.05738258,39.2379341
-25.0721703,47.6310081
32.9509735,-6.31853008
-46.4193268,-33.7145309
35.9951057,-19.6653500
-46.5433426,10.7244463
44.9879265,-29.0572529
2.38592243,-21.0796566
45.1580391,-17.5782909
14.3458309,-4.00114393
0.758383930,-0.645575702
-37.2482643,-29.8792419
17.3166733,-39.3375664
-7.81726360,-26.9554825
43.9403343,-4.06505585
-9.43985558,41.8883057
7.85081005,-46.7667046
46.9464874,10.6139555
-34.7028503,-24.5253906
27.0436211,-46.3425407
-12.1342545,36.8790283
-0.330323905,41.5337830
-2.51530218,3.18913341
35.9914589,-42.2174644
-26.1215839,-3.76938701
-15.9627609,-30.6025791
9.85069561,-17.0480480
15.4517174,-4.17211342
38.4441147,35.0269661
37.3889542,-47.5819664
9.26448631,44.5058861
30.0338039,-4.19334269
31.5628738,-0.902406871
21.2692490,-46.7892647
39.7777061,1.58544433
-28.4199543,5.46787214
21.8465748,-41.0474014
31.4020061,46.7675438
-39.0581512,-45.8886642
9.02230358,-19.6174259
43.3496971,-47.0609703
26.2919769,-1.08870494
23.5198345,20.2068024
16.4309273,12.9073658
7.54580879,-37.5147896
-26.1165371,-36.5275879
25.1652126,-34.5978928
-11.3341827,-28.6705017
-31.5646935,42.3997688
-47.4751892,-45.1520157
-12.5751934,-10.9081249
38.9302139,4.98486662
-42.2502556,45.8789940
-43.5258369,18.7696552
18.1197433,38.6983070
-38.3111343,-21.9775925
39.0494652,-37.5229149
-38.4879723,-14.9525824
16.9149284,29.1095200
13.6270885,-5.20723486
-7.99787378,1.20031369
15.2457294,-44.5334930
-10.3615303,-37.4000244
-47.6815987,45.4657593
43.2221794,34.4961624
14.9388504,24.1944103
0.184647366,14.6056280
-40.8437958,-9.25602245
39.1684303,-26.0823479
33.0367355,47.9668961
25.7345524,3.31950784
25.4322968,17.1112461
-49.7877121,-8.50705528
2.35397339,-45.9144516
-13.3608456,2.21457458
-34.4363289,-27.8742962
15.1468000,15.9421625
-5.18139553,29.8565407
-15.7620983,0.567385912
-3.95002556,-7.17416239
-40.7256660,-42.0156822
4.67445660,13.1089954
4.09179211,49.0261230
-22.4157715,-32.2099838
49.2852135,-13.5101109
-22.1296310,29.9575710
35.0806313,21.8450336
37.1491928,36.7063904
9.05550003,-44.6228943
-12.5923309,-0.495940566
-14.4818935,-1.30940294
8.72007656,2.49879503
3.96318340,3.50569534
16.0489407,25.2100544
-45.9733047,-35.0896034
21.3708420,-39.9165726
-43.1148415,-35.1788635
43.1753769,42.2120018
-39.5626106,-21.9551735
39.9637947,17.1741638
-4.00802422,-19.9980125
28.7311764,-44.8396721
46.8360672,9.70178223
-18.6892223,6.32239723
0.103093043,42.2896309
-48.1452789,-49.7864494
1.53310668,-39.3363037
-9.06385136,-25.2272892
-24.5174046,-10.1985893
12.9447517,29.5931015
3.05899692,13.1112661
31.6734333,18.0701389
-25.2167797,-12.7122383
24.1631622,-41.3859482
16.3272324,-41.3715172
7.79847240,28.0571632
28.8631763,-13.1253481
32.0977402,6.98814297
6.53956747,-17.1967239
-16.3759975,35.8699722
-19.6702538,13.1910124
19.8210316,-48.7133560
13.3498888,-41.1460533
-46.2307167,-47.6507683
-47.8112144,-27.7103500
27.9515095,31.7436390
10.9475288,18.5834255
-34.3687859,7.17775011
-7.43429470,-28.0959797
22.6429195,16.9575253
-15.2776785,38.6498184
-46.9097748,-2.55319262
-48.4221725,-7.03836489
-29.0824757,19.7016430
46.9323349,23.9308300
6.09247589,2.71512413
-2.49449325,-2.76621437
6.81502962,-45.3815422
7.30470562,-23.9948692
-11.3477335,18.6348515
-20.4918213,1.70397806
10.8262625,30.1243248
-35.6707115,-5.32525063
8.78377914,-37.7581902
-44.8210335,-21.3708420
-20.7957573,-26.7088566
-22.7908936,-15.8550034
25.2403202,-25.8851891
-22.5847664,-47.2104912
47.9327049,46.2325363
4.80415869,-48.5663605
44.5194817,-19.5278835
16.5199089,3.80764174
-25.6654682,4.88201332
-7.14274597,6.04260492
11.0760965,-1.56869912
-21.0391598,14.9811687
-34.5460472,16.2535267
-14.0229778,35.3749008
7.83704948,7.63925982
-48.4182472,-10.3682699
17.2206860,34.6781883
-39.7437973,-16.2574501
21.2635040,-10.2142277
0.447398990,25.7990093
3.75332832,13.6266394
50.0042076,-36.4918594
4.82580805,6.68901300
39.4740486,-25.1307430
49.7385292,40.5523300
6.45881176,42.5080910
-19.5746880,-48.8929977
-13.7902117,-1.95989299
12.0359268,30.2189102
11.2218990,-28.4258385
14.0930405,-19.5404968
26.9449730,47.4519272
-45.8251877,49.8489494
-21.9111729,-25.6091366
-24.1930084,-23.3516846
46.9707298,-9.15124893
4.31861639,-34.6004181
-12.2529850,46.6044350
-12.5249996,3.93180895
-35.7718811,3.21224022
15.1744051,23.1259384
-32.1100693,34.0361214
38.4095039,20.9164066
9.19569683,19.2180634
8.17901707,37.5014763
-22.7879505,30.6488228
13.8977165,-1.60664546
20.3933125,36.7823410
-29.2907066,41.9041405
-34.2352448,-47.8519897
41.0621147,12.7565050
37.0980492,-31.6819820
-29.5701218,-20.6773491
29.8236103,-46.5475426
-38.1879616,-9.37775040
-46.8516235,28.7205276
-48.7614212,-8.41374397
-6.91614532,-16.5724564
-32.2566452,32.5472679
31.8065548,-36.6380119
-41.0115280,34.4195099
8.37033272,44.1977463
-30.6713829,18.3269920
10.2026396,-28.3543739
1.39949226,25.4876461
15.7584553,43.2695427
43.8670464,23.4933510
48.2404289,-11.0780725
31.8811016,-30.4812298
-35.2351952,-49.4100685
10.5106955,-29.8093185
20.6570320,3.42910147
16.5550804,14.3689518
20.8270054,-48.8915977
34.1574745,-8.18689156
42.8788681,12.2300320
8.03230286,-40.1533890
-36.6553841,-14.4315882
5.23555470,42.3166771
43.2238617,-20.7577839
6.10944605,13.4992924
31.0048847,-2.98524761
-21.7001400,-28.9950371
-31.9434586,-26.6693420
-32.5492287,-38.6010551
-40.7542534,47.3343582
-27.3388710,30.3326931
42.1237221,8.64110088
10.5254936,48.1336479
18.6862793,-15.3659592
23.9791737,17.9841003
13.0303278,-18.5046730
-12.9746275,-49.7257767
21.9576950,-16.2406349
18.8416805,17.8308010
23.3982048,19.1735039
31.1800442,-24.3959122
4.82017517,25.7409954
-20.4967270,16.0824299
-19.8211708,-38.4373856
-15.7319717,33.9956245
-31.0266056,25.7903214
-5.05376720,-16.3661880
37.2378960,46.6571236
-20.3917713,-25.0755310
42.6674156,-30.2986431
37.4045067,6.21898317
40.7967148,-7.11128759
-44.3838387,-17.7376156
-29.2532921,-37.3505554
-13.3681326,37.5213737
28.1000423,-46.0328560
21.6247520,-46.1628952
-21.1415939,-32.2567825
7.53464031,-27.2440052
3.40588260,43.8559761
-35.0519066,40.2949142
33.1823273,24.2166901
17.9005833,-34.8113098
-49.9148064,0.947782993
-46.8007545,13.5863256
19.9202423,-28.3019657
-4.39051628,2.15419364
15.0204039,3.11556649
-5.21387720,-4.83394957
-35.3785439,48.8355446
36.1783905,-9.81796169
44.2903709,-26.6378136
-27.5052013,49.6320305
-42.3135948,-33.5263405
-38.7483292,41.0644951
-14.9925184,22.3927917
33.5297012,-39.0752487
32.9904900,-29.5478382
31.6221466,23.4946136
-40.4878731,11.8551493
13.7366409,24.9546013
-34.1880226,-21.8769817
33.4405823,-22.7119999
16.9198322,41.3156052
-17.7461643,21.8702564
43.5699768,-32.4465179
-2.59555316,-38.7061539
39.1118202,8.18790054
47.1398659,-11.4104958
-13.3411169,-31.9661598
-6.25388908,-7.59797812
17.6224308,15.3234997
-30.8322487,8.03950500
-6.11287880,19.3388538
0.209847897,47.8800163
8.58544254,-24.1037464
22.7232132,-17.5579720
-12.2949810,-19.9003429
-34.5544548,-16.7431316
-8.08196449,-43.0941048
17.2461891,-37.6006851
-11.7153864,-3.68559098
35.3065186,12.0516491
4.78672647,-17.3595524
9.41800976,-20.7883320
-42.2969208,-37.0569916
9.03621769,29.0624390
-35.6620216,11.0392008
38.6324425,-12.2300596
0.483280063,28.1167183
-49.6417007,-33.1112823
-29.9181976,-26.2060795
-22.0431728,17.4853859
-21.5087261,-18.0893364
-18.0125465,44.9583588
-25.8301182,34.4193726
27.7672405,18.4177952
31.3381100,47.8281708
39.9104080,39.9542656
-41.0423584,45.0451012
-17.8762016,10.8156977
3.24951410,-27.4826412
29.6670876,-43.7395287
48.1828308,4.06763458
34.1218796,6.97938538
45.6873016,-47.8033676
10.6853228,33.5226974
-16.7417297,2.93135452
-30.0101204,32.7896881
30.5004253,-15.1790285
-32.1725655,9.24210739
-9.49541569,21.9586754
9.68234634,-2.56894302
30.2968197,18.4847755
35.0498047,8.20150661
29.1360054,-15.5341120
44.1875191,49.6457634
-25.0203209,-46.7479286
30.7595215,36.4869537
5.84325981,-17.7663422
33.7237778,-13.1580267
30.3671665,-34.0399094
-16.4010811,17.7514896
16.8613987,36.0807228
-31.7136497,28.4129486
49.9969215,43.3787041
1.06820858,-12.4859610
-35.3498192,27.2867413
10.9447126,-14.8704672
-8.95944309,36.8609543
19.0814381,-27.7703228
26.0918770,23.4574814
-29.6945515,-47.4705658
-47.6087303,-29.7337914
6.37966776,-0.649106860
-22.5875702,12.2403460
-8.14364910,13.8596449
15.7019835,47.0535469
30.4655361,-27.3628311
-10.2605543,27.7148323
-4.61371136,23.5323086
5.35344410,43.2087288
-7.23340845,-36.4063797
43.4035034,38.3236046
-0.639227927,43.6391983
-13.8135843,-28.1280689
-4.48470974,-12.4940176
-34.7367592,43.5821686
6.52991199,-13.4280510
-34.5854225,-44.5545120
-20.1810188,34.4545441
-37.5353851,-45.3074150
-22.2462177,-33.2968102
25.5247803,30.9970379
-48.5526276,48.5299301
-9.93820477,-1.55299079
41.7798462,35.0903015
4.49981546,45.6587143
-43.2310066,-7.16131258
-49.5834045,-23.0750713
25.1415310,31.9887218
5.75668907,9.15424824
21.7203178,28.3702087
-31.1618271,23.8419895
-14.6287479,5.47328138
-9.59552288,32.8570900
-21.0241661,-48.3006821
-2.46561289,-14.1269512
7.71429777,-15.8195515
