x,y
1.834432084982338951e-01,-2.001644997176035001e-01
-2.118442534682864475e-01,5.665785168050545273e-02
2.031192240915663527e-01,-7.159614966293277594e-02
-5.329898003376466048e-02,-1.573930572807521466e-01
-1.228702232916178139e-01,1.644402193653896893e-01
-7.987364225331966550e-02,-4.565963990254929827e-01
-1.029911229128321615e-01,2.675337734657490252e-01
-3.479295571761737982e-01,-3.904574374612219678e-01
5.549161725373881471e-02,8.048716844532861209e-03
1.297074442986898279e-01,3.268870123612432899e-01
2.565508716798154953e-01,1.197702763733051734e-01
2.135976963852269650e-01,-1.782133990345661778e-01
-9.437248225745289987e-02,-3.188592509727040669e-01
-1.793971701412386544e-01,1.904093488472169138e-01
-4.486345358487509039e-01,-7.371365557325432194e-02
-2.826790619957194120e-02,-1.073872461101587662e-02
-3.715473678680435848e-02,-2.488766046452658420e-01
-3.632850029463540603e-02,3.857225476598398206e-01
4.355400752005171849e-01,-4.282051669983887032e-02
9.086281952333098710e-02,-4.191871793616178676e-01
-1.254422287017387394e-01,-1.406404368338727839e-01
3.635021158861972967e-01,-2.735833061319092874e-01
4.426073548110605327e-02,1.112128828613402065e-01
-3.955999162833054306e-01,2.879697737449572470e-01
1.141092719613540085e-01,2.538650922150526706e-02
-1.207928453344786490e-01,-1.774647286662525691e-01
-9.462987254944074667e-02,1.163728731180230930e-01
2.588213054852924189e-01,-1.803871228703199034e-02
1.855363739869389239e-01,1.355860436538775526e-01
1.211984501941754944e-01,1.661501038650942674e-01
3.321521739017314068e-01,-4.138610231590498234e-01
2.587803976409937534e-01,-2.926404821186765481e-01
-3.402359239204847396e-01,1.180862287137392913e-02
-3.656021563604693325e-01,3.821527195722835835e-01
1.190151656966604715e-01,2.196176813796185401e-01
-4.500193596782408045e-01,9.935146704467012757e-02
1.354298142902477485e-02,-3.160841902300631778e-01
-3.567186130957373247e-01,1.515222391164198767e-01
4.582831941315766017e-02,-1.693125893709854501e-01
4.302961334716989827e-01,3.552051118178353173e-01
-1.516490551105901252e-01,-4.423828652758129421e-01
-1.545026814812233695e-01,-1.671895422166558842e-01
2.148326007116121428e-01,4.828119819333509533e-01
8.384992969369801930e-02,1.577183667619899976e-01
-3.642532127808373876e-01,-1.226819954100309834e-01
-2.548777422635709611e-01,-1.400039987867821023e-01
-3.688553962660847119e-01,-4.216179717524314308e-01
-1.591824915923207018e-01,1.531960835493426654e-01
2.894595239014499666e-01,4.879580780037836435e-02
3.679011456914497158e-01,-9.239114261777005288e-02
-1.920642383259197061e-01,-1.766326405114098108e-01
-1.963843244374710029e-01,2.024501269563686728e-02
2.801081326124712501e-01,-1.541148626315681502e-01
2.396472859446991677e-01,-3.536380971365417070e-01
4.364376253106808656e-01,-4.242508060700671546e-01
-3.415875539752181167e-01,-2.161678217344984165e-01
4.748962451268931573e-01,-2.856216509798386455e-02
-6.298105006318101273e-02,2.484297322842108080e-01
2.476458507182867086e-01,-4.809904605384272003e-01
2.304629254860224019e-01,3.450211050748425157e-01
-3.039084877286777342e-01,2.804499462781904207e-01
-2.036891546776392614e-01,-2.487898368277895733e-01
1.683526016827974758e-01,-4.106053572529763107e-01
1.442762342612340376e-01,3.633463402702833411e-01
-3.475933852587981265e-02,2.592730326268107843e-01
4.828682472966863704e-02,-4.754662313836870435e-01
6.797062758579643094e-02,2.942195327428634988e-01
-1.994180454928834723e-01,4.270957918752406046e-01
4.016819879393529469e-01,2.926963698379770884e-01
4.076423790066459607e-01,-4.055035403366324953e-01
-4.377294614521700655e-01,-3.533584968802510051e-01
-5.990702079896609994e-02,-8.619495601992079037e-02
3.265372783789537853e-02,-3.780188268191221335e-01
-2.725874332206159045e-01,2.565483944089610446e-01
-2.868170375335067634e-02,3.462421282507428533e-01
-4.907194890092781425e-01,5.070516558657433420e-02
4.397293683964437760e-01,6.308027017200960873e-02
-2.745182849390082058e-01,2.190599275660206902e-01
-1.852299340290285978e-01,1.225994042801133721e-01
-4.745363521955772712e-01,1.272336154759187155e-01
-4.222571107102534582e-01,2.697460265976392435e-01
-6.318915352859135609e-03,-3.867702963697272622e-01
-3.885333130202576757e-01,1.795219360976611223e-01
1.718237619041489972e-01,-4.754306582561035333e-01
3.276453536665234201e-01,-1.078099158279125815e-02
-1.443930736047895069e-01,-3.787006608604825270e-02
-2.560806179697411866e-01,-1.696209573431131101e-01
4.075245719047751458e-01,-3.578929046571558414e-01
-5.535362247011896275e-02,4.648604285137788450e-01
-3.303321595649300058e-01,4.470707951513100964e-01
3.688107355701852330e-01,-4.106501121567994739e-01
-1.888024313981824243e-01,-4.409767347300740381e-01
-2.039997625325122022e-01,-4.069383716585073252e-01
-2.071768615604925590e-01,2.531313512175471514e-01
3.845973202415426395e-01,-4.735433476968174960e-01
-2.209909909299492825e-01,4.602510434282637286e-01
-4.698402107601781230e-01,-4.723860565687542507e-02
4.172671340320932010e-01,-1.474002063206017732e-01
2.721708664120194299e-01,2.497668258616259906e-01
-4.338653394200988056e-01,-2.784554606008797784e-01
4.441583549440929202e-02,-3.035659818659068865e-01
7.920767229071737359e-02,-1.802249311651547836e-01
-3.562915972926492536e-01,2.855529599785293637e-01
-4.231026170164245981e-01,1.605607383803291099e-01
4.746872704888133732e-01,3.651157606770536468e-01
