nu transmission_unfiltered transmission_filtered
0.339999999999999969 0.736553019321405489 0.675067326306897364
0.342933844678811106 0.730645617349943488 0.673742567670740145
0.345867689357622243 0.716418334289116943 0.671099852885366888
0.348801534036433381 0.736567899808768689 0.667153906544621367
0.351735378715244462 0.723554390571779393 0.661924905798441099
0.354669223394055599 0.699976223641268880 0.655438857992945545
0.357603068072866737 0.719819282773875968 0.647726682773453577
0.360536912751677818 0.704668320305892215 0.638825249675272322
0.363470757430488955 0.678505738117355928 0.628775896234889609
0.366404602109300093 0.662877658433694283 0.617622250361808289
0.369338446788111174 0.642326686126700075 0.605412296259123628
0.372272291466922367 0.615127315352635540 0.592197326856755857
0.375206136145733449 0.583625615935993824 0.578031724623319754
0.378139980824544586 0.592147418122026759 0.562972805852835267
0.381073825503355723 0.588919891599942624 0.547081603313959941
0.384007670182166860 0.556966343603906955 0.530423977329579244
0.386941514860977942 0.547218639870874934 0.513071119588997537
0.389875359539789024 0.468225585797837629 0.495100706625822284
0.392809204218600216 0.479811876121431335 0.476595506509688682
0.395743048897411298 0.500097132087612639 0.457645324139855036
0.398676893576222435 0.539097909772177419 0.438346084806026770
0.401610738255033572 0.493149229296553415 0.418801985407241895
0.404544582933844710 0.431274753912955777 0.399121459130259260
0.407478427612655736 0.365536875160290042 0.379417567652141630
0.410412272291466929 0.345151168102635852 0.359804983756009056
0.413346116970278066 0.338621246802877474 0.340397565898992283
0.416279961649089092 0.309060048129616571 0.321306651685050348
0.419213806327900285 0.244586127429556377 0.302637598433978361
0.422147651006711477 0.204365814630297210 0.284486919237516123
0.425081495685522504 0.193344490447308198 0.266939555439082377
0.428015340364333641 0.176136239683496315 0.250067069565187095
0.430949185043144833 0.158517933575897579 0.233925908862491705
0.433883029721955860 0.147925147942648022 0.218555373109072026
0.436816874400766997 0.139948873063412249 0.203978952079803405
0.439750719079578134 0.180851567366068722 0.190204275500779119
0.442684563758389216 0.143776638433500609 0.177223241783501517
0.445618408437200408 0.156700931646424152 0.165015187695091325
0.448552253116011546 0.098317149554368030 0.153548813986909727
0.451486097794822572 0.089838108269909858 0.142784469014835630
0.454419942473633764 0.094543204594803476 0.132677023995854099
0.457353787152444846 0.141558976952994325 0.123178559074588120
0.460287631831255928 0.150691863096677536 0.114241566680069795
0.463221476510067121 0.099312196551907497 0.105820230311693020
0.466155321188878258 0.084209894181871803 0.097872909784982268
0.469089165867689339 0.106044080178575070 0.090363709697696915
0.472023010546500477 0.074363180447341484 0.083262388783823790
0.474956855225311503 0.069210198046531918 0.076545635420848024
0.477890699904122696 0.050418141198399401 0.070197098174369060
0.480824544582933833 0.039796119594914539 0.064206530748434701
0.483758389261745025 0.033242474819426611 0.058569411552560340
0.486692233940556107 0.036661812820231031 0.053285745933422675
0.489626078619367244 0.028931833367995322 0.048359836092554724
0.492559923298178270 0.023842061712814017 0.043799003356707819
0.495493767976989408 0.025086071348529602 0.039611892339491105
0.498427612655800545 0.024798692477458049 0.035809478034496030
0.501361457334611793 0.020576759503841139 0.032400979308712823
0.504295302013422764 0.013970495796241354 0.029396619557345436
0.507229146692233956 0.008593282646915959 0.026805100139204445
0.510162991371045038 0.004449434194266042 0.024634697508740630
0.513096836049856120 0.006049073597761408 0.022891070881695872
0.516030680728667313 0.002584624220021600 0.021576847293069638
0.518964525407478505 0.001561527428497476 0.020691868581127697
0.521898370086289587 0.001005245781255396 0.020233288051818468
0.524832214765100669 0.000730589177679571 0.020195320402021894
0.527766059443911750 0.000668213774205785 0.020568815983516703
0.530699904122722832 0.000767348445325210 0.021339653929906350
0.533633748801534025 0.001098865776067453 0.022490362453408297
0.536567593480345217 0.001689833456262554 0.024000292502461162
0.539501438159156188 0.002982848458175260 0.025844366527128421
0.542435282837967381 0.007380247339111597 0.027994106066125960
0.545369127516778462 0.017738397708530109 0.030417651129143783
0.548302972195589655 0.024890698416844281 0.033080467245302052
0.551236816874400737 0.025975393359383619 0.035946495350598177
0.554170661553211930 0.038351925351096799 0.038976328126276633
0.557104506232023011 0.045914527562103208 0.042130879013915865
0.560038350910834093 0.044158383104722247 0.045370051177305519
0.562972195589645175 0.056733131048561224 0.048654289519546888
0.565906040268456367 0.058548882699553190 0.051945129295551319
0.568839884947267449 0.046015591232226559 0.055207166399853042
0.571773729626078642 0.073610443600031911 0.058407426402714381
0.574707574304889723 0.085002612692600024 0.061515023269744326
0.577641418983700805 0.067784323966843585 0.064502630550391626
0.580575263662511887 0.065243090691338379 0.067348379314928694
0.583509108341323079 0.077084327046304024 0.070033687156227528
0.586442953020134272 0.082268546064138914 0.072544532595671313
0.589376797698945354 0.088838542888512229 0.074871176701688427
0.592310642377756436 0.103256983897311250 0.077007876464380037
0.595244487056567517 0.104313090396455740 0.078952680113029028
0.598178331735378710 0.098034813396829026 0.080707311652192942
0.601112176414189792 0.084850689353748884 0.082276205425492271
0.604046021093000984 0.088497651275035352 0.083665771073985026
0.606979865771812066 0.084864238261451633 0.084884394645598535
0.609913710450623259 0.094453984217558212 0.085941498286488741
0.612847555129434340 0.086080843881160787 0.086846782913708148
0.615781399808245422 0.075580675324056393 0.087609805592451032
0.618715244487056615 0.091530373666724854 0.088239645836536845
0.621649089165867696 0.085541772534457231 0.088744273099775103
0.624582933844678889 0.091167120281734029 0.089130685948152530
0.627516778523489971 0.093934327674786350 0.089404274141205442
0.630450623202300942 0.095717470589426937 0.089569222937354837
0.633384467881112134 0.110105056187756886 0.089628507290056808
0.636318312559923327 0.092507250323864879 0.089584200587567317
0.639252157238734409 0.083993678803593957 0.089437562679520771
